symboling,normalized-losses,bmw,chevrolet,dodge,honda,jaguar,mazda,mercedes-benz,mitsubishi,nissan,peugot,plymouth,porsche,saab,subaru,toyota,volkswagen,volvo,fuel-type,aspiration,two-doors,hardtop,hatchback,sedan,wagon,fwd,rwd,wheel-base,length,width,height,curb-weight,l,ohc,ohcf,ohcv,rotor,num-of-cylinders,engine-size,2bbl,4bbl,idi,mfi,mpfi,spdi,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
2,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,99.8,176.6,66.2,54.3,2337,0,1,0,0,0,4,109,0,0,0,0,1,0,3.19,3.40,10.0,102,5500,24,30,13950
2,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99.4,176.6,66.4,54.3,2824,0,1,0,0,0,5,136,0,0,0,0,1,0,3.19,3.40,8.0,115,5500,18,22,17450
1,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,105.8,192.7,71.4,55.7,2844,0,1,0,0,0,5,136,0,0,0,0,1,0,3.19,3.40,8.5,110,5500,19,25,17710
1,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,105.8,192.7,71.4,55.9,3086,0,1,0,0,0,5,131,0,0,0,0,1,0,3.13,3.40,8.3,140,5500,17,20,23875
2,192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,101.2,176.8,64.8,54.3,2395,0,1,0,0,0,4,108,0,0,0,0,1,0,3.50,2.80,8.8,101,5800,23,29,16430
0,192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,101.2,176.8,64.8,54.3,2395,0,1,0,0,0,4,108,0,0,0,0,1,0,3.50,2.80,8.8,101,5800,23,29,16925
0,188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,101.2,176.8,64.8,54.3,2710,0,1,0,0,0,6,164,0,0,0,0,1,0,3.31,3.19,9.0,121,4250,21,28,20970
0,188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,101.2,176.8,64.8,54.3,2765,0,1,0,0,0,6,164,0,0,0,0,1,0,3.31,3.19,9.0,121,4250,21,28,21105
2,121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,88.4,141.1,60.3,53.2,1488,1,0,0,0,0,3,61,1,0,0,0,0,0,2.91,3.03,9.5,48,5100,47,53,5151
1,98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,94.5,155.9,63.6,52.0,1874,0,1,0,0,0,4,90,1,0,0,0,0,0,3.03,3.11,9.6,70,5400,38,43,6295
0,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,94.5,158.8,63.6,52.0,1909,0,1,0,0,0,4,90,1,0,0,0,0,0,3.03,3.11,9.6,70,5400,38,43,6575
1,118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,93.7,157.3,63.8,50.8,1876,0,1,0,0,0,4,90,1,0,0,0,0,0,2.97,3.23,9.41,68,5500,37,41,5572
1,118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,93.7,157.3,63.8,50.8,1876,0,1,0,0,0,4,90,1,0,0,0,0,0,2.97,3.23,9.4,68,5500,31,38,6377
1,118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,93.7,157.3,63.8,50.8,2128,0,1,0,0,0,4,98,0,0,0,0,1,0,3.03,3.39,7.6,102,5500,24,30,7957
1,148,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,93.7,157.3,63.8,50.6,1967,0,1,0,0,0,4,90,1,0,0,0,0,0,2.97,3.23,9.4,68,5500,31,38,6229
1,148,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,93.7,157.3,63.8,50.6,1989,0,1,0,0,0,4,90,1,0,0,0,0,0,2.97,3.23,9.4,68,5500,31,38,6692
1,148,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,93.7,157.3,63.8,50.6,1989,0,1,0,0,0,4,90,1,0,0,0,0,0,2.97,3.23,9.4,68,5500,31,38,7609
-1,110,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,103.3,174.6,64.6,59.8,2535,0,1,0,0,0,4,122,1,0,0,0,0,0,3.34,3.46,8.5,88,5000,24,30,8921
